id,date,call_sum_hist,sms_sum_hist,circumplex.arousal_mean_hist,circumplex.arousal_std_hist,circumplex.valence_mean_hist,circumplex.valence_std_hist,screen_sum_hist,screen_std_hist,appCat.builtin_sum_hist,appCat.builtin_std_hist,appCat.communication_sum_hist,appCat.communication_std_hist,appCat.entertainment_sum_hist,appCat.entertainment_std_hist,appCat.finance_sum_hist,appCat.finance_std_hist,appCat.game_sum_hist,appCat.game_std_hist,appCat.office_sum_hist,appCat.office_std_hist,appCat.other_sum_hist,appCat.other_std_hist,appCat.social_sum_hist,appCat.social_std_hist,appCat.travel_sum_hist,appCat.travel_std_hist,appCat.unknown_sum_hist,appCat.unknown_std_hist,appCat.utilities_sum_hist,appCat.utilities_std_hist,appCat.weather_sum_hist,appCat.weather_std_hist,call_t,sms_t,circumplex.arousal_t,circumplex.valence_t,screen_t,appCat.builtin_t,appCat.communication_t,appCat.entertainment_t,appCat.finance_t,appCat.game_t,appCat.office_t,appCat.other_t,appCat.social_t,appCat.travel_t,appCat.unknown_t,appCat.utilities_t,appCat.weather_t,mood_output
AS14.16,2014-04-20,4.0,4.0,0.53,0.9324698386543127,0.9199999999999999,0.1788854381999832,161.1672825178956,23.728336131962088,47.06145193548387,7.321477219039997,97.39084949494944,7.653565745230914,107.62565000000001,,36.7549,,0.0,,0.0,,14.144200000000001,1.4239716359534693,170.31505000000004,7.937269645935666,0.0,,0.0,,0.0,,0.0,,,1.0,1.3333333333333333,1.0,,,,,,,,,,,,,,1
AS14.25,2014-03-21,5.0,0.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,0
AS14.33,2014-04-19,5.0,3.0,-0.35555555555555557,0.6049181150584977,0.8444444444444444,0.5347204184673762,490.475040683767,65.71514556342557,30.7117297435164,3.0364249812133672,142.61596191865607,20.387992364979088,331.9849848484848,71.26104838943282,0.0,,0.0,,0.0,,62.66402047619047,6.15333619693196,322.45912130225673,31.729112932115566,0.0,,11.051,,28.51000745098039,3.1339409073419557,0.0,,1.0,,0.0,1.0,130.59510649767793,19.328046979865782,148.1467037037037,149.06926666666666,,,,16.90093333333333,129.76094482758623,,,5.850899999999998,,1
AS14.33,2014-05-12,3.0,2.0,-0.25,0.3840572873934304,0.22000000000000003,0.5848076606885378,865.0916350918712,33.85180261407075,43.569469997007324,3.885067327516341,240.368364512987,17.83379034298089,347.898266540404,23.60191451118769,0.0,,0.0,,0.0,,74.56967333333333,3.7393913725465473,603.0398441950467,45.67008072536528,130.9357333333333,16.097676637563435,0.0,,37.403150000000004,8.963984406001702,0.0,,1.0,,-0.75,0.5,393.50251334190403,15.874552,57.33176,56.687625,,,,41.7774,94.96651904761912,,,,,1
AS14.24,2014-05-23,4.0,5.0,0.16,0.2966479394838265,0.72,0.2280350850198276,300.35063297195086,9.874100452926303,46.01558256416578,1.5515226565919031,228.83665874019485,13.094109646452845,22.294799999999988,2.1014235555927328,0.0,,0.0,,0.0,,60.52292666666665,2.305105687422307,151.44651456043957,16.553117060516527,0.0,,0.0,,2.0084666666666684,,0.0,,1.0,,-0.2,0.6,119.27706060409538,11.407240540540517,70.78112631578948,15.769066666666665,,,,10.742839999999998,77.0915142857143,,9.352472222222252,,,1
AS14.32,2014-03-28,5.0,1.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,0
AS14.08,2014-04-03,0.0,1.0,-0.31333333333333335,0.4173993557999608,0.9199999999999999,0.22803508501982758,235.4967521555517,10.39235843903246,30.817500000000006,2.7267868554399337,183.37847808087278,31.87327943327992,66.58010833333333,6.219221619605413,0.0,,0.0,,0.0,,34.94728888888889,0.9513452818359931,195.06380918414914,16.579511168904432,0.0,,0.0,,41.2762,1.5510020545870757,0.0,,,,0.0,1.3333333333333333,42.19072834128765,6.168940000000002,29.94610126582274,,,,,6.897893333333333,26.652466666666655,,,14.946666666666667,,1
AS14.30,2014-03-07,5.0,0.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,0
AS14.25,2014-03-23,5.0,0.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,0
AS14.06,2014-04-08,4.0,0.0,-0.48,0.363318042491699,0.36000000000000004,0.2966479394838265,544.2019097369615,43.43993214746756,279.4370441666667,35.59306647169865,219.1885568004111,9.531006377603386,38.24974821480068,1.8147056798473484,0.0,,805.3619333333332,151.02843894967447,0.0,,58.77505333333333,3.604486955305692,500.5048289238245,46.39035979163727,184.1388976190476,20.764593089122332,0.0,,0.0,,0.0,,1.0,1.0,-0.2,0.0,91.39772443082597,93.49903703703703,48.947720000000025,9.336155294117647,,348.27979999999997,114.53406666666666,11.4344,53.18881428571422,73.61019999999999,,,,1
