id,date,call_sum_hist,sms_sum_hist,circumplex.arousal_mean_hist,circumplex.arousal_std_hist,circumplex.valence_mean_hist,circumplex.valence_std_hist,activity_mean_hist,activity_std_hist,screen_sum_hist,screen_std_hist,appCat.builtin_sum_hist,appCat.builtin_std_hist,appCat.communication_sum_hist,appCat.communication_std_hist,appCat.entertainment_sum_hist,appCat.entertainment_std_hist,appCat.finance_sum_hist,appCat.finance_std_hist,appCat.game_sum_hist,appCat.game_std_hist,appCat.office_sum_hist,appCat.office_std_hist,appCat.other_sum_hist,appCat.other_std_hist,appCat.social_sum_hist,appCat.social_std_hist,appCat.travel_sum_hist,appCat.travel_std_hist,appCat.unknown_sum_hist,appCat.unknown_std_hist,appCat.utilities_sum_hist,appCat.utilities_std_hist,appCat.weather_sum_hist,appCat.weather_std_hist,call_t,sms_t,circumplex.arousal_t,circumplex.valence_t,activity_t,screen_t,appCat.builtin_t,appCat.communication_t,appCat.entertainment_t,appCat.finance_t,appCat.game_t,appCat.office_t,appCat.other_t,appCat.social_t,appCat.travel_t,appCat.unknown_t,appCat.utilities_t,appCat.weather_t,mood_output
AS14.02,2014-03-03,5.0,5.0,0.0,0.0,0.8,0.0,0.09696845793551223,0.0,334.58382092305044,0.0,64.70908620689688,0.0,194.47170698924734,0.0,268.64070898564904,0.0,94.11166666666672,0.0,390.148,0.0,125.45907142857139,0.0,62.04012500000001,0.0,282.5197878787879,0.0,200.26800000000003,0.0,152.86516666666668,0.0,51.85000000000001,0.0,96.06233333333334,0.0,1.0,1.0,0.0,0.8,0.09696845793551223,66.91676418461009,12.941817241379377,38.894341397849466,53.72814179712981,18.822333333333344,78.0296,25.09181428571428,12.408025000000002,56.50395757575758,40.0536,30.573033333333335,10.370000000000001,19.212466666666668,1
AS14.09,2014-05-03,5.0,5.0,-0.25,0.25,0.68,0.12549900398011135,0.09696845793551223,0.0,334.58382092305044,0.0,64.70908620689688,0.0,194.47170698924734,0.0,268.64070898564904,0.0,94.11166666666672,0.0,390.148,0.0,125.45907142857139,0.0,62.04012500000001,0.0,282.5197878787879,0.0,200.26800000000003,0.0,152.86516666666668,0.0,51.85000000000001,0.0,96.06233333333334,0.0,1.0,1.0,0.25,0.75,0.09696845793551223,66.91676418461009,12.941817241379377,38.894341397849466,53.72814179712981,18.822333333333344,78.0296,25.09181428571428,12.408025000000002,56.50395757575758,40.0536,30.573033333333335,10.370000000000001,19.212466666666668,1
AS14.08,2014-04-26,5.0,5.0,-0.25333333333333335,0.5362420680584055,0.6133333333333333,0.24675674031095662,0.07751671648390207,0.04336824015155345,311.26005597430253,21.55630038758813,46.95059331501832,4.169760832611737,485.74089811252855,151.87756381086405,488.79581692759297,47.20109892045282,94.11166666666672,0.0,390.148,0.0,212.97944285714283,24.086816323969277,83.28665454545454,14.945967997102041,179.0563652652038,6.767982012691961,200.26800000000003,0.0,152.86516666666668,0.0,87.61500000000001,15.994594243055996,96.06233333333334,0.0,1.0,1.0,-0.5,0.25,0.04766493055555554,43.00412633795487,17.803,19.5905,53.72814179712981,18.822333333333344,78.0296,25.09181428571428,6.372,48.01514285714303,40.0536,30.573033333333335,10.370000000000001,19.212466666666668,1
AS14.26,2014-03-25,5.0,5.0,0.05,0.2738612787525831,0.68,0.3898717737923586,0.09696845793551223,0.0,334.58382092305044,0.0,64.70908620689688,0.0,194.47170698924734,0.0,268.64070898564904,0.0,94.11166666666672,0.0,390.148,0.0,125.45907142857139,0.0,62.04012500000001,0.0,282.5197878787879,0.0,200.26800000000003,0.0,152.86516666666668,0.0,51.85000000000001,0.0,96.06233333333334,0.0,1.0,1.0,-0.2,0.2,0.09696845793551223,66.91676418461009,12.941817241379377,38.894341397849466,53.72814179712981,18.822333333333344,78.0296,25.09181428571428,12.408025000000002,56.50395757575758,40.0536,30.573033333333335,10.370000000000001,19.212466666666668,1
AS14.16,2014-04-07,5.0,5.0,-0.22999999999999998,0.17888543819998318,0.86,0.21908902300206645,0.09334557898769419,0.07720667661215175,1732.38226233185,367.19089050696044,33.49694785168761,2.9606317418563846,157.59731619658115,16.871966370412387,902.9266317971299,201.2882944873675,96.60953333333337,1.1170799330794903,390.148,0.0,125.45907142857139,0.0,45.458325,1.9059473844718284,115.18640000000003,10.928429716031943,195.432975,2.162288914582185,152.86516666666668,0.0,57.57300000000001,2.559403407046259,81.46486666666667,6.528185553190786,1.0,1.0,-0.2,1.0,0.10051575291139647,116.59803750514965,5.481938461538461,27.999957142857134,57.200799999999994,25.8471,78.0296,25.09181428571428,12.408025000000002,52.03586666666667,40.0536,30.573033333333335,10.370000000000001,19.212466666666668,1
AS14.15,2014-04-17,5.0,5.0,0.8,0.848528137423857,1.0,0.0,0.061497905643738957,0.03239006320975274,830.9825711562803,105.13869417763043,122.72851984875265,11.374499874314525,473.99718236834866,54.04575932606827,323.84056718851923,24.686127057993428,94.11166666666672,0.0,390.148,0.0,133.4739571428571,3.584365857806964,79.782075,7.668068558325981,344.7737303030303,27.840809425592816,227.08086666666668,11.991078507660971,145.42113333333333,3.329072912021537,51.85000000000001,0.0,96.06233333333334,0.0,1.0,1.0,0.0,0.0,0.11493055555555545,143.1165374815464,23.894737500000005,69.64834000000005,53.72814179712981,18.822333333333344,78.0296,6.8432,68.48540000000001,59.249399999999994,40.0536,30.573033333333335,10.370000000000001,19.212466666666668,1
AS14.26,2014-04-24,5.0,5.0,0.42000000000000004,0.44944410108488464,0.64,0.4979959839195493,0.10923165989868648,0.06691855528214605,587.4925078568677,53.79189189475758,208.91496981345944,65.7573400051822,164.915676767097,4.509982200890368,284.39081692759294,5.1245248592921815,94.11166666666672,0.0,390.148,0.0,125.45907142857139,0.0,50.857,0.8387134595319191,685.3832091851851,52.83515733951238,200.26800000000003,0.0,233.92038333333335,36.24899487952812,80.43058333333335,7.847274058639019,78.6145,4.800438537606053,1.0,1.0,0.0,-0.4,0.07666042546962286,122.58900657325503,50.64230833333317,40.17839130434783,73.66220000000001,18.822333333333344,78.0296,25.09181428571428,8.7826,75.76410322580645,40.0536,98.78466666666667,10.370000000000001,12.616300000000003,1
AS14.07,2014-04-01,5.0,5.0,-0.02999999999999998,0.5426785420486054,0.58,0.6572670690061994,0.0687857559160788,0.024815850871949523,665.555723043495,46.14428404614935,100.39031284033614,2.8181744597787266,223.19940706624,16.29987949000685,1446.6738027777778,134.05388862579713,94.11166666666672,0.0,390.148,0.0,125.45907142857139,0.0,123.50513333333322,18.85219117796847,678.666656060606,49.91457950750458,309.3020543589743,22.283750683384916,174.33739047619048,9.60267041323694,143.94875000000002,41.18781312855176,96.06233333333334,0.0,1.0,1.0,-1.0,0.8,0.0808317024685563,79.43321962824649,13.265315463917528,36.61906770833334,316.7697166666666,18.822333333333344,78.0296,25.09181428571428,15.534519999999977,100.20636,40.0536,30.573033333333335,10.370000000000001,19.212466666666668,1
AS14.08,2014-03-14,5.0,5.0,-0.2,0.7615773105863909,0.76,0.3286335345030997,0.09696845793551223,0.0,323.03468009197456,5.164932796000805,65.7925953544064,0.48456002161482215,206.69348503584231,5.465745303620192,268.64070898564904,0.0,94.11166666666672,0.0,390.148,0.0,125.45907142857139,0.0,74.49353958333334,5.5693363120641095,259.50135808080813,10.294154752717917,200.26800000000003,0.0,152.86516666666668,0.0,51.524,0.14579163213298652,96.06233333333334,0.0,1.0,1.0,-0.2,1.2,0.09696845793551223,70.60364256919698,20.65113103448276,15.546864000000001,53.72814179712981,18.822333333333344,78.0296,25.09181428571428,8.045480000000001,29.98761428571429,118.8568515151515,43.56230952380952,8.334983333333334,19.212466666666668,1
AS14.08,2014-03-27,5.0,5.0,-0.45,0.25,0.82,0.20493901531919195,0.04342464951289566,0.029103561027705758,204.70297797172543,10.702108980407868,35.484001555104804,4.975202201439325,314.59782958585856,68.02656938880676,260.7759253913894,2.8696227862020747,94.11166666666672,0.0,390.148,0.0,168.3985071428571,19.203099434525022,497.24159761904764,127.87329997313847,211.24317766609036,17.050880372705493,222.413675,12.346109606010508,152.86516666666668,0.0,63.08910000000001,3.8362447070018884,96.06233333333334,0.0,1.0,1.0,0.0,0.5,0.08156565635596673,60.28301500558855,6.75635,48.76260487804877,53.72814179712981,18.822333333333344,78.0296,25.09181428571428,8.274028571428572,92.91158260869567,40.0536,87.3974,10.6267,19.212466666666668,1
