id,date,call_sum_hist,sms_sum_hist,circumplex.arousal_mean_hist,circumplex.arousal_std_hist,circumplex.valence_mean_hist,circumplex.valence_std_hist,activity_mean_hist,activity_std_hist,screen_sum_hist,screen_std_hist,appCat.builtin_sum_hist,appCat.builtin_std_hist,appCat.communication_sum_hist,appCat.communication_std_hist,appCat.entertainment_sum_hist,appCat.entertainment_std_hist,appCat.finance_sum_hist,appCat.finance_std_hist,appCat.game_sum_hist,appCat.game_std_hist,appCat.office_sum_hist,appCat.office_std_hist,appCat.other_sum_hist,appCat.other_std_hist,appCat.social_sum_hist,appCat.social_std_hist,appCat.travel_sum_hist,appCat.travel_std_hist,appCat.unknown_sum_hist,appCat.unknown_std_hist,appCat.utilities_sum_hist,appCat.utilities_std_hist,appCat.weather_sum_hist,appCat.weather_std_hist,call_t,sms_t,circumplex.arousal_t,circumplex.valence_t,activity_t,screen_t,appCat.builtin_t,appCat.communication_t,appCat.entertainment_t,appCat.finance_t,appCat.game_t,appCat.office_t,appCat.other_t,appCat.social_t,appCat.travel_t,appCat.unknown_t,appCat.utilities_t,appCat.weather_t,mood_output
AS14.33,2014-05-16,5.0,5.0,-0.11666666666666665,0.46248123085038695,0.31333333333333335,0.18797162906495582,0.059289338087723756,0.05969752046781968,1283.1507381174627,126.02061373664421,55.312754398307376,6.2874633277074885,292.3167642676961,35.700577081030396,363.9548975490196,36.03838512516137,133.78876312015635,12.17658255001276,2203.651278589681,484.65534380168623,600.2928853464387,106.28868218705927,102.73587047619047,12.230838868622726,574.2107337567953,58.54867594670032,157.1998956993303,18.370389317538518,144.06770856562494,23.09140194453422,141.09835250548673,37.356642903492585,90.11013837460314,7.9163746883059645,1.0,1.0,0.4,1.0,0.05482277444743702,76.15063333389121,16.385733333333334,47.08803076923072,45.69242857142857,45.3903617203283,73.2943477488095,16.147057383579583,12.731166666666667,69.40557560975614,25.76870021486533,24.015237839393937,6.031650000000001,20.983917533333333,1
AS14.25,2014-04-18,5.0,5.0,0.029999999999999992,0.3930648801406709,0.24000000000000005,0.2607680962081059,0.08736888464353418,0.03260306220384299,512.4311331375102,44.44302868376254,44.22525981335545,1.2541963653379806,321.85303139747305,16.508693090798772,736.6520806161582,81.16911229083614,110.43526999328388,14.277869568166759,418.0562374357144,20.33533034593811,120.91885572076805,13.353953951009796,91.21349752525254,4.7291939446769335,683.8735995970696,51.15407203161273,184.37023941369503,25.749365184210404,276.89568153831175,50.74091176299413,60.45469683037737,6.448227604660943,107.4325733,2.415317600474018,1.0,1.0,-0.25,0.0,0.07510236633068716,99.07269151736115,17.315040000000007,91.75267356321844,98.30582304137118,29.8523077140725,76.2662,6.249760739608881,20.791818181818186,77.20631428571433,33.3494,35.28054180189389,5.766011104307786,22.710728783333323,1
AS14.15,2014-02-24,5.0,5.0,0.05849999999999998,7.757919228897728e-18,0.706,0.0,0.09097502553149286,0.0,262.20441986570313,0.0,59.000820489565754,0.0,187.69578588401586,0.0,225.4575218951847,0.0,197.94999145391256,0.0,284.22415547196,7.944109290391274e-15,163.01903306456038,0.0,76.93315676700182,0.0,200.1787527387239,0.0,126.63754440555749,0.0,61.168633923611026,0.0,52.693528784951184,0.0,112.23592400000003,0.0,1.0,1.0,0.05849999999999999,0.706,0.09097502553149286,52.44088397314063,11.80016409791315,37.53915717680317,45.09150437903694,39.58999829078251,56.84483109439199,32.603806612912074,15.386631353400364,40.035750547744776,25.3275088811115,12.233726784722204,10.538705756990236,22.447184800000006,0
AS14.31,2014-04-08,5.0,5.0,0.4,0.31622776601683794,0.4800000000000001,0.3346640106136302,0.1779857134819475,0.039898569572783364,1190.920896218787,95.7038620033755,88.1169104935888,5.150163495606233,160.78750808823534,8.275875000339525,61.43350330675174,2.6988614872840975,126.90752075236233,9.187570562900648,930.8835497687227,69.42519559426844,119.76370063763196,17.679661124308574,100.85607777777777,6.575292129498651,223.00469528775807,24.02602212203038,262.87157146847545,31.0115548048893,322.3062673853174,28.66759510483874,156.46856259307364,12.261452520874544,101.2669139611111,11.459384063331646,1.0,1.0,0.6,0.6,0.14116237733162795,40.10949134473448,14.894982795698935,28.53645555555557,14.14126666666667,52.0106,245.9359079580807,34.5,13.429599999999999,27.156672727272724,23.973974367899885,10.412839888888877,32.15713333333334,11.242758154761908,1
AS14.20,2014-02-27,5.0,5.0,0.05849999999999998,7.757919228897728e-18,0.706,0.0,0.09097502553149286,0.0,262.20441986570313,0.0,59.000820489565754,0.0,187.69578588401586,0.0,225.4575218951847,0.0,197.94999145391256,0.0,284.22415547196,7.944109290391274e-15,163.01903306456038,0.0,76.93315676700182,0.0,200.1787527387239,0.0,126.63754440555749,0.0,61.168633923611026,0.0,52.693528784951184,0.0,112.23592400000003,0.0,1.0,1.0,0.05849999999999999,0.706,0.09097502553149286,52.44088397314063,11.80016409791315,37.53915717680317,45.09150437903694,39.58999829078251,56.84483109439199,32.603806612912074,15.386631353400364,40.035750547744776,25.3275088811115,12.233726784722204,10.538705756990236,22.447184800000006,0
AS14.14,2014-03-06,5.0,5.0,0.05849999999999998,7.757919228897728e-18,0.706,0.0,0.09097502553149286,0.0,262.20441986570313,0.0,59.000820489565754,0.0,187.69578588401586,0.0,225.4575218951847,0.0,197.94999145391256,0.0,284.22415547196,7.944109290391274e-15,163.01903306456038,0.0,76.93315676700182,0.0,200.1787527387239,0.0,126.63754440555749,0.0,61.168633923611026,0.0,52.693528784951184,0.0,112.23592400000003,0.0,1.0,1.0,0.05849999999999999,0.706,0.09097502553149286,52.44088397314063,11.80016409791315,37.53915717680317,45.09150437903694,39.58999829078251,56.84483109439199,32.603806612912074,15.386631353400364,40.035750547744776,25.3275088811115,12.233726784722204,10.538705756990236,22.447184800000006,0
AS14.07,2014-04-11,5.0,5.0,-0.47000000000000003,0.5333854141237836,0.48,0.3898717737923586,0.07854660317432896,0.013439075694892336,659.43305424444,29.30377729585827,67.19229195962139,4.665228649394046,182.61576327596188,9.416219892688964,1972.5290967532471,195.54744695944797,128.5186973358206,12.707000130787522,927.3004962035351,82.50169483935335,130.85795190826758,26.29399240445295,116.16134142857129,9.7350202900577,767.3957428571429,74.08901562363233,328.3624505396885,40.14061342874402,366.82059816273437,41.472581218862985,332.23091336640783,38.99008917760851,83.86617858571425,9.01002259540985,1.0,1.0,0.5,-1.0,0.06534547152194213,55.73866859844767,9.520399999999997,25.788796296296308,100.72141583523494,25.58842158166281,54.03675765384618,16.918958323728067,13.909333333333308,213.41580000000002,26.660879999999974,30.982644261363617,13.374897323561665,20.76572575,0
AS14.12,2014-04-15,5.0,5.0,-0.04,0.4774934554525329,0.64,0.3847076812334269,0.09480319213791881,0.023686981292326655,340.331435233044,7.629820084166062,125.67808648472638,36.29592614817245,163.63008584958604,8.736664538943701,221.76317806173188,24.219362979985153,86.51708449394101,15.861894103039226,532.6668678088022,107.55176931922357,194.95884021850642,8.51121672094952,60.657453333333336,2.6823210181797563,381.38535665223657,6.406546664158353,170.33465490395108,9.685149085929046,174.03419522793246,13.072731856582076,87.15849613911281,26.349530137709706,118.70348802222219,9.365975252743215,1.0,1.0,0.2,1.0,0.12516226023097787,57.62603808925262,9.80269456066947,40.512223529411806,54.708079999999995,6.9766,55.899391479801004,44.63989999999999,10.432366666666665,54.994209999999995,33.839394172559,37.5127776756313,4.857000000000001,30.333970100000016,1
AS14.32,2014-04-28,5.0,5.0,-0.14523333333333333,0.21518659861204698,0.39203333333333334,0.4163239990947222,0.10787411075009049,0.049566147608095835,621.761046128415,39.41473738602248,180.3470715704539,11.265709845517371,263.68829315660565,15.78996153258441,50.12213725886441,2.640715664269309,184.7339070182083,12.95988151613172,1295.6445291732314,24.14144347310186,118.18077942200011,15.553697697892149,84.6376498885288,7.95086404563991,529.7565310155197,45.74960733812261,285.62174715365074,12.357237552261648,353.47931129213555,11.516619710075668,279.7868722416665,25.61621953805533,59.84604048809524,3.3133213197673483,1.0,1.0,0.25,0.25,0.06443908316403466,115.10929999659145,63.416677777777785,67.31760571428573,74.43824477611933,32.91517129573153,209.8513723383838,10.265474818398197,8.52945,91.79572399905754,56.2817,72.0558932383477,36.651777446031744,13.839172452380955,1
AS14.33,2014-05-24,5.0,5.0,-0.34,0.524616261873593,0.19,0.2073644135332772,0.015515732346615888,0.004307574836878072,1006.0007678214657,66.23036218608772,43.08932777252718,2.3546542451796193,272.9617023199021,24.86735989513076,659.7275199999999,57.09621381022303,91.1305847793781,10.606411449572494,1799.5531419903969,237.13574450902357,629.1913503015903,88.46346124718455,68.65188809523809,1.8043418860709113,658.9302383191583,55.61488070128444,294.99193426496885,41.23921440138737,365.85387880340903,73.30217560922276,131.01916794236803,26.13890344219436,90.76103778571428,8.658048337655975,1.0,1.0,-1.0,0.2,0.013014871478570875,158.40470145197924,11.435262650602398,42.07198888888884,85.77397142857141,14.529775056288146,545.1821080449998,211.1648096038963,14.061233333333334,104.98810566037736,98.47557534448944,151.76289706969698,24.9270934914863,12.773202928571436,1
